energy,flux
0.000000,0.000000
0.200000,0.236155
0.400000,0.913773
0.600000,1.986538
0.800000,3.407970
1.000000,5.130829
1.200000,7.056230
1.400000,8.032076
1.600000,7.182870
1.800000,5.245684
2.000000,3.801567
2.200000,2.256067
2.400000,1.295695
2.600000,0.870278
2.800000,0.515697
3.000000,0.237062
3.200000,0.038785
3.400000,0.032088
3.600000,0.029418
3.800000,0.026774
4.000000,0.024155
4.200000,0.021613
4.400000,0.019115
4.600000,0.016716
4.800000,0.014434
5.000000,0.012472
5.200000,0.010811
5.400000,0.009246
5.600000,0.007979
5.800000,0.006806
6.000000,0.005816
6.200000,0.004947
6.400000,0.004197
6.600000,0.003552
6.800000,0.002987
7.000000,0.002506
7.200000,0.002096
7.400000,0.001732
7.600000,0.001440
7.800000,0.001180
8.000000,0.000967
8.200000,0.000786
8.400000,0.000628
8.600000,0.000510
8.800000,0.000406
9.000000,0.000319
9.200000,0.000250
9.400000,0.000191
9.600000,0.000148
9.800000,0.000113
10.000000,0.000085
10.200000,0.000064
10.400000,0.000047
10.600000,0.000033
10.800000,0.000023
11.000000,0.000016
11.200000,0.000011
11.400000,0.000008
11.600000,0.000005
11.800000,0.000003
12.000000,0.000002
12.200000,0.000001
12.400000,0.000001
12.600000,0.000000
12.800000,0.000000
13.000000,0.000000
13.200000,0.000000
13.400000,0.000000
13.600000,0.000000
13.800000,0.000000
14.000000,0.000000
14.200000,0.000000
14.400000,0.000000
14.600000,0.000000
14.800000,0.000000
15.000000,0.000000
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
