energy,flux
0.000000,0.000000
0.200000,0.000001
0.400000,0.000004
0.600000,0.000008
0.800000,0.000013
1.000000,0.000021
1.200000,0.000029
1.400000,0.000038
1.600000,0.000049
1.800000,0.000060
2.000000,0.000072
2.200000,0.000085
2.400000,0.000098
2.600000,0.000112
2.800000,0.000126
3.000000,0.000140
3.200000,0.000154
3.400000,0.000167
3.600000,0.000180
3.800000,0.000191
4.000000,0.000199
4.200000,0.000204
4.400000,0.000205
4.600000,0.000203
4.800000,0.000196
5.000000,0.000186
5.200000,0.000171
5.400000,0.000156
5.600000,0.000141
5.800000,0.000126
6.000000,0.000112
6.200000,0.000098
6.400000,0.000085
6.600000,0.000071
6.800000,0.000059
7.000000,0.000047
7.200000,0.000037
7.400000,0.000030
7.600000,0.000023
7.800000,0.000018
8.000000,0.000014
8.200000,0.000011
8.400000,0.000008
8.600000,0.000006
8.800000,0.000004
9.000000,0.000003
9.200000,0.000002
9.400000,0.000002
9.600000,0.000001
9.800000,0.000001
10.000000,0.000000
10.200000,0.000000
10.400000,0.000000
10.600000,0.000000
10.800000,0.000000
11.000000,0.000000
11.200000,0.000000
11.400000,0.000000
11.600000,0.000000
11.800000,0.000000
12.000000,0.000000
12.200000,0.000000
12.400000,0.000000
12.600000,0.000000
12.800000,0.000000
13.000000,0.000000
13.200000,0.000000
13.400000,0.000000
13.600000,0.000000
13.800000,0.000000
14.000000,0.000000
14.200000,0.000000
14.400000,0.000000
14.600000,0.000000
14.800000,0.000000
15.000000,0.000000
15.200000,0.000000
15.400000,0.000000
15.600000,0.000000
15.800000,0.000000
